id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
in-2711d3d12c76debb,indeed,https://fr.indeed.com/viewjob?jk=2711d3d12c76debb,https://careers.gehealthcare.com/global/en/job/GEVGHLGLOBALR4028534EXTERNALENGLOBAL/Software-Engineer-en-technologies-web-et-IA-H-F?utm_source=indeed&utm_medium=phenom-feeds,Software Engineer en technologies web et IA H/F,GE HealthCare,"Buc, A8, FR",2025-09-01,,,,,,,False,,,,,"**Job Description Summary**
===========================

L’organisation AV (Advanced Vizualisation) de GE HealthCare développe des solutions logicielles dans le domaine de l’imagerie médicale depuis plus de trente ans. Les équipes de développement logiciel contribuent depuis plusieurs années à la réalisation de projets en intelligence artificielle impliquant des partenaires académiques et industriels. Ces produits sont notamment intégrés au sein du portfolio des applications AW au bénéfice des radiologues. GE Healthcare est engagé plus globalement dans la mise en œuvre de solutions IT rattachées aux équipements et déployées sur site pour le fonctionnement d’algorithmes de dernière génération dans le cadre du soin.

**Job Description**
===================

GE HealthCare souhaite accélérer le modèle de développement d’applications médicales en intelligence artificielle avec des partenaires. L’ambition est d’ouvrir les outils de visualisation à ces partenaires et de les utiliser au sein des entrepôts de donnée de santé. C’est notamment l’objectif du projet AI DReAM sur lequel GE HealthCare est chef de file.

AI DReAM intègre le développement de solutions automatisées d’aide au diagnostic et au suivi pour les maladies impliquant l’imagerie in-vivo. Les partenaires académiques mettent à disposition leurs données, GE HealthCare fournit des outils d’annotation et réalise des développements produit intégrant de l’intelligence artificielle avec les partenaires académique et startup.

Le(a) Software Engineer web & AI intégrera une équipe de développement responsable de la mise en œuvre de plusieurs projets collaboratifs, tels que AI DReAM. Organisée en scrum, l’équipe est responsable de la conduite des projets et réalise le développement d’algorithmes en intelligence artificielle, d’outils de visualisation 3D, et des applications web de visualisation. L’équipe maîtrise également l’architecture full stack de la plateforme, sait déployer les environnements chez les partenaires et bénéficie d’interactions régulières avec des radiologues.

Le(a) Software Engineer web & AI contribuera au développement d'algorithmes en intelligence artificielle et de leur intégration dans des applications web de nouvelle génération . Il contribuera dans la scrum team et s’appuiera sur une organisation plus large gérant l’ensemble de l’architecture de la plateforme web. Il/ell s'interfacera également avec la communauté algorithmique plus large au sein du département AV.

**Principales** **responsabilités :**
-------------------------------------

* Participer à la définition de fonctionnalités avancées en lien avec des cas d’usage de projets collaboratifs.
* Définir les approches technique adéquate au cas d'usage clinique en computer vision.
* Définir les choix d’architecture des pipeline algorithmiques.
* Définir les modes d'intégration d'outils et d'algorithmes avancés au sein de l'architecture web
* Contribuer au développement full stack de composants, fonctionnalités critiques et avancée en imagerie médicale.
* Définir les critères de performance et leur spécification.
* Contribuer à la définition et la réalisation de la stratégie de test et d’intégration continue des développements.

Le(a) Software Engineer web et AI aura des interactions au sein de la scrum team ; et saura s’interfacer avec les architectes et les membres clés de l’ensemble de l’organisation. Ouvert, curieux et autonome, il s’intégrera dans une communauté de développeur étendue travaillant sur des fonctionnalités similaires et construira les développements dans un état d’esprit de co-construction. En lien avec les réalités d’exécution des projets collaboratifs , il saura mener une approche incrémentale de construction des fonctionnalités logicielles et mènera des compromis techniques et délai.

**Qualifications :**
--------------------

* Cursus universitaire ou école d’ingénieur en génie logiciel et traitement d’image
* Expérience professionnelle avérée dans le domaine du développement logiciel
* Maîtriser les technologies :
  + En algorithmie dans le domaine du computer vision et du deep learning
  + Topologies logicielles de type client-serveur et sans emprunte (de type web)
  + Maîtrises de langages front et back (type script, CSS, HTML et C++)
  + Architectures de type REST
  + Conteneurisation sous DOCKER
  + Outils de gestions des exigences et de test : ALM ou équivalent

* Présenter des qualités humaines adaptées au partenariat et à la conception produit : leadership, autonomie, organisation, efficacité, esprit de synthèse, rigueur …
* Disposer d’une bonne communication et d’un niveau d’anglais (écrit et oral)

**Qualifications souhaitées :**
-------------------------------

* Présenter une expérience de travail impliquant du partenariat académique et industriel
* Présenter une expérience dans le domaine de la visualisation
* Avoir occupé un rôle transverse au sein d’une large organisation et disposer d’une expérience de coordination sur plusieurs sites de développement.
* Présenter de l’expérience dans le développement algorithmique en imagerie médicale est un plus.

**Inclusion et diversité**
--------------------------

GE HealthCare est un employeur offrant l'égalité des chances où l'inclusion compte. Les décisions relatives à l'emploi sont prises sans tenir compte de l’origine nationale ou ethnique, de la religion, du sexe, de l'orientation sexuelle, de l'identité ou de l'expression de genre, de l'âge, du handicap, du statut d'ancien combattant protégé ou d'autres caractéristiques protégées par la loi.

Nos rémunérations totales sont conçues pour libérer votre ambition en vous donnant la motivation et la flexibilité dont vous avez besoin pour transformer vos idées en réalités qui changent le monde. Nos salaires et nos avantages sociaux correspondent à tout ce que vous attendez d’une organisation ayant une dimension internationale, avec des possibilités de développement de carrière, dans une culture qui favorise la collaboration et le soutien.

**A propos de nous**
--------------------

GE HealthCare est l'un des leaders mondiaux dans le domaine des technologies médicales et des solutions numériques. Il permet aux cliniciens de prendre des décisions plus rapides et plus pertinentes à travers des équipements intelligents, des analyses de données, des applications et des services. Avec plus de 100 ans d'expérience dans le secteur de la santé et environ 47 000 employés dans le monde, la société est au centre d'un écosystème qui travaille pour une médecine de précision.

Présent en France depuis 1987 avec aujourd’hui 2 800 collaborateurs, c’est un acteur solidement ancré dans l’hexagone à travers son empreinte industrielle, son centre de R&D et de production à Buc dans les Yvelines et des partenariats de recherche avec des entreprises et des centres de recherche français. www.gehealthcare.com

**Additional Information**
==========================

**Relocation Assistance Provided:** No",,https://fr.indeed.com/cmp/GE-Healthcare,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0319a8fc3b79fe8ed6f689ff5f1478c1,https://www.gehealthcare.com,"Chicago, IL","10,000+",more than $10B (USD),,,,,,,
in-02a3d2a860fec8af,indeed,https://fr.indeed.com/viewjob?jk=02a3d2a860fec8af,https://rejoindre.onera.fr/detail-poste?nPostingTargetId=5691&id=P6VFK026203F3VBQB68LOF6Z3&LG=FR&languageSelect=FR&source=Indeed&sType=Indeed+Organic,Ingénieur en simulation évaluation de performances en aéronautique de combat H/F,ONERA,"Palaiseau, A8, FR",2025-09-01,,,,,,,False,,,,,"**Profil**

Ingénieur généraliste avec une spécialisation en aéronautique, et une expérience de 2 à 5 ans dans les secteurs aéronautique, spatial ou défense.

Vous êtes motivé par le développement d’outils de simulation, la programmation et les
  
aspects pluridisciplinaires : mécanique du vol, propulsion, aérodynamique, furtivité, intelligence artificielle, ...

Vous maîtrisez les langages de programmation usuels : Python, C, C++.

Vous avez idéalement des connaissances dans le domaine du combat aérien : avions, missiles ou drones.

Vous avez une bonne maîtrise de l’anglais, tant l’écrit que à l’oral, et avez également un bon esprit de synthèse ainsi qu’une solide pratique rédactionnelle.



**Rejoignez l’ONERA, façonnez l’avenir !**

Intégrer l’ONERA, c’est bien plus que rejoindre le premier acteur de la recherche aéronautique et spatiale en France. C’est s’engager dans une aventure où chaque jour est une occasion d’innover, de repousser les limites de la connaissance et de construire le futur.

À l’ONERA, nous favorisons l’équilibre entre vie professionnelle et vie personnelle. Nous offrons un environnement stimulant qui encourage la formation continue de nos collaborateurs, permettant à chacun de se développer et de s’épanouir.

Notre entreprise s'engage dans une politique en faveur de l'intégration et du maintien dans l'emploi des personnes en situation de handicap.

Notre index d’égalité professionnelle de 95/100, établi en 2023, témoigne de notre engagement en faveur de la mixité.

À l’ONERA, nous croyons fermement que la diversité de nos équipes est une force, enrichissant notre travail et nos innovations.

Ensemble, nous pouvons façonner l’avenir de l’aéronautique, de la défense et de l’espace. Rejoignez l’ONERA, et prenez votre envol vers l’avenir.

  
Job Reference: ONERA01676",Aerospace And Defense,https://fr.indeed.com/cmp/Onera,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b63e18915341fae980f53c2ba7de441e,http://rejoindre.onera.fr,"6 Chemin de la Vauve aux Granges, 91120 Palaiseau","1,001 to 5,000",,"ONERA - The French Aerospace Lab, est le centre français de recherche aéronautique, spatiale et de défense",,,,,,
in-278a8c8efeed5b82,indeed,https://fr.indeed.com/viewjob?jk=278a8c8efeed5b82,https://www.disneycareers.com/job/-/-/391/85638885552,Stage – Ingénieur Data & Pilotage Qualité – Développement Outils & IA (F/H/NB),"Disney Parks, Experiences and Products","Marne-la-Vallée, A8, FR",2025-09-01,internship,,,,,,False,,,,,"Intégré(e) à la Division Maintenance au travers de la Direction Sécurité et Prévention des Risques, le service Contrôle Qualité (QC) et Assurance Qualité Fournisseurs (AQF) contribue à préserver la Sécurité de nos collaborateurs et de nos visiteurs en garantissant la conformité de nos installations aux réglementations, normes et standards entreprise.  
  
Le service QC - AQF contribue à la maîtrise des activités à haut risques et en ciblant la réduction des risques prioritaire. Cela passe notamment par le contrôle et l’inspection des pièces et éléments critiques, la gestion des moyens de mesure, ainsi que par le suivi de la performance de nos fournisseurs.

**Vos missions**

**Sous la supervision de votre tuteur, vous contribuerez au :**

**Support au déploiement des outils de pilotage :**

* Intégrer un module d’estimation des temps de contrôle basé sur une matrice de chiffrage intelligente
* Intégrer un module d’analyse de la charge de travail et de la capacité d’absorption des équipes
* Intégrer un module de planification intelligente suivant les principes FiFo (First In First Out) et prévisions (forecast), en détectant et résolvant les conflits liés à l’allocation des dossiers aux ressources humaines (Contrôleurs Qualité)

**Conception et mise en place de tableaux de bord :**

* Développer et déployer des tableaux de bord dynamiques (Power BI ou équivalent) pour le suivi et le pilotage des activités qualité

**Étude de faisabilité d’intégration de l’Intelligence Artificielle dans les processus qualité (QC) :**

* Analyser les procès-verbaux documentaires (rapports QC) ainsi que les résultats des contrôles finaux
* Estimer la charge et la durée des contrôles via une matrice de chiffrage intelligente
* Élaborer des scénarios de re-contrôle intelligent basés sur le niveau de confiance accordé aux fournisseurs

**Profil / Compétences**

* **Étudiant(e) en Bac+4/5**, idéalement en **écol**e **d’ingénieur en Informatique Industrielle**, **Génie Industriel** ou en **formation généraliste avec une spécialisation en Informatique** ou **Systèmes d’Information**.

* **Maîtrise de la programmation**, notamment Python, VBA et C, ainsi que **des outils de pilotage et d’automatisation** tels que Power BI, Power Automate, Smartsheet et Excel.

* **Proactif(ve)** et **force de proposition**.

* **Esprit d’équipe** et bonnes **capacités d’adaptation**.

**La différence Disney** ✨

Ce poste d'Ingénieur(e) Data & Pilotage Qualité permet d'agir directement sur la fiabilité et la disponibilité des équipements d'attractions et donc de contribuer à la sécurité des visiteurs sur le parc Disneyland Paris.

Nous avons une proximité avec le produit (les parcs et les attractions).  
L'Atelier Contrôle Qualité se trouve au sein d'un plateau industriel (Central shop) où l'on retrouve différents ateliers de fabrication ainsi que le bureau d'études, ce qui rend le quotidien super dynamique. L'Atelier Contrôle qualité est le carrefour des services à la maintenance, venez vivre avec nous ce quotidien stimulant.

Nous sommes en pleine transformation industrielle, les défis sont nombreux et les opportunités d'apporter sa pierre à l'édifice sont possibles, rejoignez-nous pour ces belles expériences à vivre ensemble.

**Nos Avantages**

* Un cadre de travail unique dans un contexte international aux nombreuses opportunités
* Un logement à proximité de nos parcs (sous conditions)
* Le remboursement de 100% des abonnements pour les transports quotidiens domicile-travail
* Offre diversifiée de restauration d’entreprise et subvention allouée (5€ par jour)
* Des accès aux parcs pour vous et vos proches, et à la plateforme Disney+
* Des réductions tarifaires dans les boutiques, restaurants et hôtels Disney toute l’année
* De nombreux avantages supplémentaires : temps de formation, programmes de reconnaissance, évènements exclusifs, aide à la parentalité, conciergerie d’entreprise, complémentaire santé…

**Rejoignez nos 18 000 collaborateurs (Cast Members) et embarquez dans une formidable aventure humaine pour faire vivre la magie Disney et faire rêver des millions de visiteurs chaque année !** **#InternshipPROOPS25**",,"https://fr.indeed.com/cmp/Disney-Parks,-Experiences-and-Products",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/63fdd6807cc882970aba03c011fb64ba,https://disneyconnect.com/dpep/,,"10,000+",$1B to $5B (USD),"Synonymous with quality entertainment and cutting-edge technology, The Walt Disney Company impacts a global audience every day.",,,,,,
in-d41eafb46cd27355,indeed,https://fr.indeed.com/viewjob?jk=d41eafb46cd27355,https://jobs.disneycareers.com/job/marne-la-vallee/stage-ingenieur-data-and-pilotage-qualite-developpement-outils-and-ia-f-h-nb/391/85638885552,Stage – Ingénieur Data & Pilotage Qualité – Développement Outils & IA (F/H/NB),The Walt Disney Company,"Marne-la-Vallée, A8, FR",2025-09-01,internship,,,,,,False,,,,,"**Job ID** 10128025 **Location** Marne-la-Vallée, France **Business** Disneyland Paris **Date posted** Sep. 01, 2025

#### **Job Summary:**

Intégré(e) à la Division Maintenance au travers de la Direction Sécurité et Prévention des Risques, le service Contrôle Qualité (QC) et Assurance Qualité Fournisseurs (AQF) contribue à préserver la Sécurité de nos collaborateurs et de nos visiteurs en garantissant la conformité de nos installations aux réglementations, normes et standards entreprise.  
  
Le service QC - AQF contribue à la maîtrise des activités à haut risques et en ciblant la réduction des risques prioritaire. Cela passe notamment par le contrôle et l’inspection des pièces et éléments critiques, la gestion des moyens de mesure, ainsi que par le suivi de la performance de nos fournisseurs.

**Vos missions**

**Sous la supervision de votre tuteur, vous contribuerez au :**

**Support au déploiement des outils de pilotage :**

* Intégrer un module d’estimation des temps de contrôle basé sur une matrice de chiffrage intelligente
* Intégrer un module d’analyse de la charge de travail et de la capacité d’absorption des équipes
* Intégrer un module de planification intelligente suivant les principes FiFo (First In First Out) et prévisions (forecast), en détectant et résolvant les conflits liés à l’allocation des dossiers aux ressources humaines (Contrôleurs Qualité)

**Conception et mise en place de tableaux de bord :**

* Développer et déployer des tableaux de bord dynamiques (Power BI ou équivalent) pour le suivi et le pilotage des activités qualité

**Étude de faisabilité d’intégration de l’Intelligence Artificielle dans les processus qualité (QC) :**

* Analyser les procès-verbaux documentaires (rapports QC) ainsi que les résultats des contrôles finaux
* Estimer la charge et la durée des contrôles via une matrice de chiffrage intelligente
* Élaborer des scénarios de re-contrôle intelligent basés sur le niveau de confiance accordé aux fournisseurs

**Profil / Compétences**

* **Étudiant(e) en Bac+4/5**, idéalement en **écol**e **d’ingénieur en Informatique Industrielle**, **Génie Industriel** ou en **formation généraliste avec une spécialisation en Informatique** ou **Systèmes d’Information**.

* **Maîtrise de la programmation**, notamment Python, VBA et C, ainsi que **des outils de pilotage et d’automatisation** tels que Power BI, Power Automate, Smartsheet et Excel.

* **Proactif(ve)** et **force de proposition**.

* **Esprit d’équipe** et bonnes **capacités d’adaptation**.

Pour information, nos stages ne peuvent être convertis en alternance

**La différence Disney** ✨

Ce poste d'Ingénieur(e) Data & Pilotage Qualité permet d'agir directement sur la fiabilité et la disponibilité des équipements d'attractions et donc de contribuer à la sécurité des visiteurs sur le parc Disneyland Paris.

Nous avons une proximité avec le produit (les parcs et les attractions).  
L'Atelier Contrôle Qualité se trouve au sein d'un plateau industriel (Central shop) où l'on retrouve différents ateliers de fabrication ainsi que le bureau d'études, ce qui rend le quotidien super dynamique.

L'Atelier Contrôle qualité est le carrefour des services à la maintenance, venez vivre avec nous ce quotidien stimulant.

Nous sommes en pleine transformation industrielle, les défis sont nombreux et les opportunités d'apporter sa pierre à l'édifice sont possibles, rejoignez-nous pour ces belles expériences à vivre ensemble.

**Nos Avantages**

* Un cadre de travail unique dans un contexte international aux nombreuses opportunités
* Un logement à proximité de nos parcs (sous conditions)
* Le remboursement de 100% des abonnements pour les transports quotidiens domicile-travail
* Offre diversifiée de restauration d’entreprise et subvention allouée (5€ par jour)
* Des accès aux parcs pour vous et vos proches, et à la plateforme Disney+
* Des réductions tarifaires dans les boutiques, restaurants et hôtels Disney toute l’année
* De nombreux avantages supplémentaires : temps de formation, programmes de reconnaissance, évènements exclusifs, aide à la parentalité, conciergerie d’entreprise, complémentaire santé…

**Rejoignez nos 18 000 collaborateurs (Cast Members) et embarquez dans une formidable aventure humaine pour faire vivre la magie Disney et faire rêver des millions de visiteurs chaque année !** **#InternshipPROOPS25**",Restaurants Travel And Leisure,https://fr.indeed.com/cmp/The-Walt-Disney-Company,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/63fd092b951a8dab33b5a345f74e0fb5,http://thewaltdisneycompany.com,"500 South Buena Vista Street,
Burbank, California, United States","10,000+",more than $10B (USD),"Synonymous with quality entertainment and cutting-edge technology, The Walt Disney Company impacts a global audience every day.",,,,,,
in-8b965d51f35374a7,indeed,https://fr.indeed.com/viewjob?jk=8b965d51f35374a7,https://emplois.disneycareers.com/emploi/marne-la-vallee/stage-ingenieur-data-and-pilotage-qualite-developpement-outils-and-ia-f-h-nb/391/85638885552,Stage – Ingénieur Data & Pilotage Qualité – Développement Outils & IA (F/H/NB),"Disney Parks, Experiences and Products","Marne-la-Vallée, A8, FR",2025-09-01,internship,,,,,,False,,,,,"#### **Résumé du poste:**

Intégré(e) à la Division Maintenance au travers de la Direction Sécurité et Prévention des Risques, le service Contrôle Qualité (QC) et Assurance Qualité Fournisseurs (AQF) contribue à préserver la Sécurité de nos collaborateurs et de nos visiteurs en garantissant la conformité de nos installations aux réglementations, normes et standards entreprise.  
  
Le service QC - AQF contribue à la maîtrise des activités à haut risques et en ciblant la réduction des risques prioritaire. Cela passe notamment par le contrôle et l’inspection des pièces et éléments critiques, la gestion des moyens de mesure, ainsi que par le suivi de la performance de nos fournisseurs.

**Vos missions**

**Sous la supervision de votre tuteur, vous contribuerez au :**

**Support au déploiement des outils de pilotage :**

* Intégrer un module d’estimation des temps de contrôle basé sur une matrice de chiffrage intelligente
* Intégrer un module d’analyse de la charge de travail et de la capacité d’absorption des équipes
* Intégrer un module de planification intelligente suivant les principes FiFo (First In First Out) et prévisions (forecast), en détectant et résolvant les conflits liés à l’allocation des dossiers aux ressources humaines (Contrôleurs Qualité)

**Conception et mise en place de tableaux de bord :**

* Développer et déployer des tableaux de bord dynamiques (Power BI ou équivalent) pour le suivi et le pilotage des activités qualité

**Étude de faisabilité d’intégration de l’Intelligence Artificielle dans les processus qualité (QC) :**

* Analyser les procès-verbaux documentaires (rapports QC) ainsi que les résultats des contrôles finaux
* Estimer la charge et la durée des contrôles via une matrice de chiffrage intelligente
* Élaborer des scénarios de re-contrôle intelligent basés sur le niveau de confiance accordé aux fournisseurs

**Profil / Compétences**

* **Étudiant(e) en Bac+4/5**, idéalement en **écol**e **d’ingénieur en Informatique Industrielle**, **Génie Industriel** ou en **formation généraliste avec une spécialisation en Informatique** ou **Systèmes d’Information**.

* **Maîtrise de la programmation**, notamment Python, VBA et C, ainsi que **des outils de pilotage et d’automatisation** tels que Power BI, Power Automate, Smartsheet et Excel.

* **Proactif(ve)** et **force de proposition**.

* **Esprit d’équipe** et bonnes **capacités d’adaptation**.

Pour information, nos stages ne peuvent être convertis en alternance

**La différence Disney** ✨

Ce poste d'Ingénieur(e) Data & Pilotage Qualité permet d'agir directement sur la fiabilité et la disponibilité des équipements d'attractions et donc de contribuer à la sécurité des visiteurs sur le parc Disneyland Paris.

Nous avons une proximité avec le produit (les parcs et les attractions).  
L'Atelier Contrôle Qualité se trouve au sein d'un plateau industriel (Central shop) où l'on retrouve différents ateliers de fabrication ainsi que le bureau d'études, ce qui rend le quotidien super dynamique.

L'Atelier Contrôle qualité est le carrefour des services à la maintenance, venez vivre avec nous ce quotidien stimulant.

Nous sommes en pleine transformation industrielle, les défis sont nombreux et les opportunités d'apporter sa pierre à l'édifice sont possibles, rejoignez-nous pour ces belles expériences à vivre ensemble.

**Nos Avantages**

* Un cadre de travail unique dans un contexte international aux nombreuses opportunités
* Un logement à proximité de nos parcs (sous conditions)
* Le remboursement de 100% des abonnements pour les transports quotidiens domicile-travail
* Offre diversifiée de restauration d’entreprise et subvention allouée (5€ par jour)
* Des accès aux parcs pour vous et vos proches, et à la plateforme Disney+
* Des réductions tarifaires dans les boutiques, restaurants et hôtels Disney toute l’année
* De nombreux avantages supplémentaires : temps de formation, programmes de reconnaissance, évènements exclusifs, aide à la parentalité, conciergerie d’entreprise, complémentaire santé…

**Rejoignez nos 18 000 collaborateurs (Cast Members) et embarquez dans une formidable aventure humaine pour faire vivre la magie Disney et faire rêver des millions de visiteurs chaque année !** **#InternshipPROOPS25**",,"https://fr.indeed.com/cmp/Disney-Parks,-Experiences-and-Products",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/63fdd6807cc882970aba03c011fb64ba,https://disneyconnect.com/dpep/,,"10,000+",$1B to $5B (USD),"Synonymous with quality entertainment and cutting-edge technology, The Walt Disney Company impacts a global audience every day.",,,,,,
li-4193256961,linkedin,https://www.linkedin.com/jobs/view/4193256961,,Junior Software Engineer - AI Platform,Algolia,"Paris, Île-de-France, France",2025-08-31,,,,,,,False,,,,,,,https://www.linkedin.com/company/algolia,,,,,,,,,,,,
li-4275440926,linkedin,https://www.linkedin.com/jobs/view/4275440926,,AI / ML Engineer,Family & Co,"Paris, Île-de-France, France",2025-08-30,,,,,,,False,,,,,,,https://fr.linkedin.com/company/family-&-co,,,,,,,,,,,,
li-4268192322,linkedin,https://www.linkedin.com/jobs/view/4268192322,,Machine Learning Engineer Intern,Criteo,"Paris, Île-de-France, France",2025-08-30,,,,,,,False,,,,,,,https://fr.linkedin.com/company/criteo,,,,,,,,,,,,
li-4280235446,linkedin,https://www.linkedin.com/jobs/view/4280235446,,Accelerator Data & AI Engineer (Paris),Sanofi,"Paris, Île-de-France, France",2025-08-30,,,,,,,False,,,,,,,https://fr.linkedin.com/company/sanofi,,,,,,,,,,,,
li-4292981223,linkedin,https://www.linkedin.com/jobs/view/4292981223,,AI Engineer - The Flex Europe,The Flex,"Paris, Île-de-France, France",2025-08-29,,,,,,,False,,,,,,,https://uk.linkedin.com/company/theflexglobal,,,,,,,,,,,,
